Drug 1,Drug 2,Interaction Description
Lovastatin,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Lovastatin.
Dihydroergotamine,Levofloxacin,The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Levofloxacin.
Tetrabenazine,Levofloxacin,Tetrabenazine may increase the QTc-prolonging activities of Levofloxacin.
Pimozide,Levofloxacin,Pimozide may increase the QTc-prolonging activities of Levofloxacin.
Asenapine,Levofloxacin,Asenapine may increase the QTc-prolonging activities of Levofloxacin.
Quetiapine,Levofloxacin,Quetiapine may increase the QTc-prolonging activities of Levofloxacin.
Iloperidone,Levofloxacin,Iloperidone may increase the QTc-prolonging activities of Levofloxacin.
Paliperidone,Levofloxacin,Paliperidone may increase the QTc-prolonging activities of Levofloxacin.
Flupentixol,Levofloxacin,Flupentixol may increase the QTc-prolonging activities of Levofloxacin.
Zuclopenthixol,Levofloxacin,Zuclopenthixol may increase the QTc-prolonging activities of Levofloxacin.
Thioridazine,Levofloxacin,Thioridazine may increase the QTc-prolonging activities of Levofloxacin.
Lisuride,Levofloxacin,The risk or severity of adverse effects can be increased when Lisuride is combined with Levofloxacin.
Ergometrine,Levofloxacin,The risk or severity of adverse effects can be increased when Ergometrine is combined with Levofloxacin.
Methylergometrine,Levofloxacin,The risk or severity of adverse effects can be increased when Methylergometrine is combined with Levofloxacin.
Ergotamine,Levofloxacin,The risk or severity of adverse effects can be increased when Ergotamine is combined with Levofloxacin.
Pergolide,Levofloxacin,The risk or severity of adverse effects can be increased when Pergolide is combined with Levofloxacin.
Domperidone,Levofloxacin,Domperidone may increase the QTc-prolonging activities of Levofloxacin.
Dofetilide,Levofloxacin,Dofetilide may increase the QTc-prolonging activities of Levofloxacin.
Cisapride,Levofloxacin,Cisapride may increase the QTc-prolonging activities of Levofloxacin.
Telavancin,Levofloxacin,Telavancin may increase the QTc-prolonging activities of Levofloxacin.
Bedaquiline,Levofloxacin,Bedaquiline may increase the QTc-prolonging activities of Levofloxacin.
Ibutilide,Levofloxacin,Ibutilide may increase the QTc-prolonging activities of Levofloxacin.
Propafenone,Levofloxacin,Propafenone may increase the QTc-prolonging activities of Levofloxacin.
Flecainide,Levofloxacin,Flecainide may increase the QTc-prolonging activities of Levofloxacin.
Procainamide,Levofloxacin,Procainamide may increase the QTc-prolonging activities of Levofloxacin.
Escitalopram,Levofloxacin,Escitalopram may increase the QTc-prolonging activities of Levofloxacin.
Tacrolimus,Levofloxacin,Tacrolimus may increase the QTc-prolonging activities of Levofloxacin.
Rilpivirine,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Rilpivirine.
Nicergoline,Levofloxacin,The risk or severity of adverse effects can be increased when Nicergoline is combined with Levofloxacin.
Pravastatin,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Pravastatin.
Simvastatin,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Simvastatin.
Pitavastatin,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Pitavastatin.
Fluvastatin,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Fluvastatin.
Rosuvastatin,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Rosuvastatin.
Methysergide,Levofloxacin,The risk or severity of adverse effects can be increased when Methysergide is combined with Levofloxacin.
Tolvaptan,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Tolvaptan.
Tiaprofenic acid,Trovafloxacin,Tiaprofenic acid may increase the neuroexcitatory activities of Trovafloxacin.
Carprofen,Trovafloxacin,Carprofen may increase the neuroexcitatory activities of Trovafloxacin.
Cyclophosphamide,Trovafloxacin,Cyclophosphamide may increase the cardiotoxic activities of Trovafloxacin.
Paclitaxel,Trovafloxacin,The risk or severity of adverse effects can be increased when Paclitaxel is combined with Trovafloxacin.
Docetaxel,Trovafloxacin,The risk or severity of adverse effects can be increased when Docetaxel is combined with Trovafloxacin.
Cabazitaxel,Trovafloxacin,The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Trovafloxacin.
Acarbose,Trovafloxacin,Acarbose may increase the hypoglycemic activities of Trovafloxacin.
Sunitinib,Trovafloxacin,Sunitinib may increase the hypoglycemic activities of Trovafloxacin.
Prednisolone,Trovafloxacin,The risk or severity of adverse effects can be increased when Prednisolone is combined with Trovafloxacin.
Dexamethasone,Trovafloxacin,The risk or severity of adverse effects can be increased when Dexamethasone is combined with Trovafloxacin.
Prednisone,Trovafloxacin,The risk or severity of adverse effects can be increased when Prednisone is combined with Trovafloxacin.
Methylprednisolone,Trovafloxacin,The risk or severity of adverse effects can be increased when Methylprednisolone is combined with Trovafloxacin.
Formestane,Trovafloxacin,The risk or severity of adverse effects can be increased when Formestane is combined with Trovafloxacin.
Sucralfate,Trovafloxacin,The serum concentration of Trovafloxacin can be decreased when it is combined with Sucralfate.
Mesalazine,Trovafloxacin,Mesalazine may increase the neuroexcitatory activities of Trovafloxacin.
Balsalazide,Trovafloxacin,Balsalazide may increase the neuroexcitatory activities of Trovafloxacin.
Olsalazine,Trovafloxacin,Olsalazine may increase the neuroexcitatory activities of Trovafloxacin.
Resveratrol,Trovafloxacin,Resveratrol may increase the neuroexcitatory activities of Trovafloxacin.
Masoprocol,Trovafloxacin,Masoprocol may increase the neuroexcitatory activities of Trovafloxacin.
Sulindac,Trovafloxacin,Sulindac may increase the neuroexcitatory activities of Trovafloxacin.
Pirfenidone,Trovafloxacin,Pirfenidone may increase the neuroexcitatory activities of Trovafloxacin.
Mycophenolate mofetil,Trovafloxacin,Mycophenolate mofetil may increase the neuroexcitatory activities of Trovafloxacin.
Leflunomide,Trovafloxacin,Leflunomide may increase the neuroexcitatory activities of Trovafloxacin.
Vemurafenib,Trovafloxacin,The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Trovafloxacin.
Warfarin,Trovafloxacin,Warfarin may increase the anticoagulant activities of Trovafloxacin.
Phenprocoumon,Trovafloxacin,Phenprocoumon may increase the anticoagulant activities of Trovafloxacin.
Phenindione,Trovafloxacin,Phenindione may increase the anticoagulant activities of Trovafloxacin.
Acenocoumarol,Trovafloxacin,Acenocoumarol may increase the anticoagulant activities of Trovafloxacin.
Dicoumarol,Trovafloxacin,Dicoumarol may increase the anticoagulant activities of Trovafloxacin.
Nafamostat,Trovafloxacin,Nafamostat may increase the neuroexcitatory activities of Trovafloxacin.
Rosiglitazone,Trovafloxacin,Rosiglitazone may increase the hypoglycemic activities of Trovafloxacin.
Nimesulide,Trovafloxacin,Nimesulide may increase the neuroexcitatory activities of Trovafloxacin.
Acetylsalicylic acid,Trovafloxacin,Acetylsalicylic acid may increase the neuroexcitatory activities of Trovafloxacin.
Diflunisal,Trovafloxacin,Diflunisal may increase the neuroexcitatory activities of Trovafloxacin.
Azelastine,Trovafloxacin,Azelastine may increase the neuroexcitatory activities of Trovafloxacin.
Tranilast,Trovafloxacin,Tranilast may increase the neuroexcitatory activities of Trovafloxacin.
Sulfisoxazole,Trovafloxacin,Sulfisoxazole may increase the hypoglycemic activities of Trovafloxacin.
Chlorpropamide,Trovafloxacin,Chlorpropamide may increase the hypoglycemic activities of Trovafloxacin.
Canagliflozin,Trovafloxacin,Canagliflozin may increase the hypoglycemic activities of Trovafloxacin.
Pentamidine,Trovafloxacin,Pentamidine may increase the hypoglycemic activities of Trovafloxacin.
Glipizide,Trovafloxacin,Glipizide may increase the hypoglycemic activities of Trovafloxacin.
Disopyramide,Trovafloxacin,Disopyramide may increase the hypoglycemic activities of Trovafloxacin.
Tolbutamide,Trovafloxacin,Tolbutamide may increase the hypoglycemic activities of Trovafloxacin.
Miglitol,Trovafloxacin,Miglitol may increase the hypoglycemic activities of Trovafloxacin.
Sulfamethoxazole,Trovafloxacin,Sulfamethoxazole may increase the hypoglycemic activities of Trovafloxacin.
Sitagliptin,Trovafloxacin,Sitagliptin may increase the hypoglycemic activities of Trovafloxacin.
Dapagliflozin,Trovafloxacin,Dapagliflozin may increase the hypoglycemic activities of Trovafloxacin.
Alogliptin,Trovafloxacin,Alogliptin may increase the hypoglycemic activities of Trovafloxacin.
Saxagliptin,Trovafloxacin,Saxagliptin may increase the hypoglycemic activities of Trovafloxacin.
Sulfadiazine,Trovafloxacin,Sulfadiazine may increase the hypoglycemic activities of Trovafloxacin.
Nateglinide,Trovafloxacin,Nateglinide may increase the hypoglycemic activities of Trovafloxacin.
Gliclazide,Trovafloxacin,Gliclazide may increase the hypoglycemic activities of Trovafloxacin.
Pioglitazone,Trovafloxacin,Pioglitazone may increase the hypoglycemic activities of Trovafloxacin.
Mifepristone,Trovafloxacin,Mifepristone may increase the hypoglycemic activities of Trovafloxacin.
Quinine,Trovafloxacin,Quinine may increase the hypoglycemic activities of Trovafloxacin.
Metformin,Trovafloxacin,Metformin may increase the hypoglycemic activities of Trovafloxacin.
Tolazamide,Trovafloxacin,Tolazamide may increase the hypoglycemic activities of Trovafloxacin.
Glimepiride,Trovafloxacin,Glimepiride may increase the hypoglycemic activities of Trovafloxacin.
Empagliflozin,Trovafloxacin,Empagliflozin may increase the hypoglycemic activities of Trovafloxacin.
Repaglinide,Trovafloxacin,Repaglinide may increase the hypoglycemic activities of Trovafloxacin.
Glyburide,Trovafloxacin,Glyburide may increase the hypoglycemic activities of Trovafloxacin.
Bromocriptine,Trovafloxacin,Bromocriptine may increase the hypoglycemic activities of Trovafloxacin.
Seratrodast,Trovafloxacin,Seratrodast may increase the neuroexcitatory activities of Trovafloxacin.
Chloroquine,Trovafloxacin,Chloroquine may increase the neuroexcitatory activities of Trovafloxacin.
Celecoxib,Trovafloxacin,Celecoxib may increase the neuroexcitatory activities of Trovafloxacin.
Salicylic acid,Trovafloxacin,Salicylic acid may increase the neuroexcitatory activities of Trovafloxacin.
Naftifine,Trovafloxacin,Naftifine may increase the neuroexcitatory activities of Trovafloxacin.
Fluticasone propionate,Trovafloxacin,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Trovafloxacin.
Magnesium sulfate,Trovafloxacin,The serum concentration of Trovafloxacin can be decreased when it is combined with Magnesium sulfate.
Olopatadine,Trovafloxacin,Olopatadine may increase the neuroexcitatory activities of Trovafloxacin.
Fluticasone furoate,Trovafloxacin,The risk or severity of adverse effects can be increased when Fluticasone furoate is combined with Trovafloxacin.
Prasterone,Trovafloxacin,The risk or severity of adverse effects can be increased when Prasterone is combined with Trovafloxacin.
Diflorasone,Trovafloxacin,The risk or severity of adverse effects can be increased when Diflorasone is combined with Trovafloxacin.
Flumethasone,Trovafloxacin,The risk or severity of adverse effects can be increased when Flumethasone is combined with Trovafloxacin.
Desoximetasone,Trovafloxacin,The risk or severity of adverse effects can be increased when Desoximetasone is combined with Trovafloxacin.
Mometasone,Trovafloxacin,The risk or severity of adverse effects can be increased when Mometasone is combined with Trovafloxacin.
Clobetasol propionate,Trovafloxacin,The risk or severity of adverse effects can be increased when Clobetasol propionate is combined with Trovafloxacin.
Estrone,Trovafloxacin,The risk or severity of adverse effects can be increased when Estrone is combined with Trovafloxacin.
Difluprednate,Trovafloxacin,The risk or severity of adverse effects can be increased when Difluprednate is combined with Trovafloxacin.
Fluprednidene,Trovafloxacin,The risk or severity of adverse effects can be increased when Fluprednidene is combined with Trovafloxacin.
Beclomethasone dipropionate,Trovafloxacin,The risk or severity of adverse effects can be increased when Beclomethasone dipropionate is combined with Trovafloxacin.
Tixocortol,Trovafloxacin,The risk or severity of adverse effects can be increased when Tixocortol is combined with Trovafloxacin.
Fluocinonide,Trovafloxacin,The risk or severity of adverse effects can be increased when Fluocinonide is combined with Trovafloxacin.
Ciclesonide,Trovafloxacin,The risk or severity of adverse effects can be increased when Ciclesonide is combined with Trovafloxacin.
Cortisone acetate,Trovafloxacin,The risk or severity of adverse effects can be increased when Cortisone acetate is combined with Trovafloxacin.
Alclometasone,Trovafloxacin,The risk or severity of adverse effects can be increased when Alclometasone is combined with Trovafloxacin.
Fludrocortisone,Trovafloxacin,The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Trovafloxacin.
